year,districtid,enrollment,pctfemale,pctblack,pcthispanic,pcttwomoreraces,pctwhite,pctesl,pcthighlycapable,pctfrpl,pctsection504,pctdisabilities,districtnumber,nces_lea
2023,21303,372,0.489247311827957,0.002688172043010753,0.13172043010752688,0.06182795698924731,0.8010752688172043,0,0.03763440860215054,0.6182795698924731,0.002688172043010753,0.20430107526881722,100293,5309750
2024,21303,373,0.5120643431635389,0,0.09651474530831099,0.07506702412868632,0.8230563002680965,0,0.08042895442359249,0.7560321715817694,0,0.16621983914209115,100293,5309750
2025,21303,387,0.48578811369509045,0,0.08527131782945736,0.07751937984496124,0.8294573643410853,0,0.06718346253229975,0.6537467700258398,0.00516795865633075,0.15503875968992248,100293,5309750
2015,21401,3701,0.4871656309105647,0.010537692515536342,0.31910294514995946,0.034044852742502026,0.6198324777087274,0.09510942988381518,0.017562820859227234,0.7614158335584977,0.007025128343690895,0.17778978654417724,100040,5301140
2016,21401,3587,0.48647895177028155,0.010872595483691107,0.32478394201282407,0.036241984945637025,0.6138834680791748,0.11011987733482019,0.023696682464454975,0.7825480903261779,0.009199888486200167,0.1619737942570393,100040,5301140
2017,21401,3633,0.48554913294797686,0.00853289292595651,0.34186622625928986,0.03633360858794385,0.593999449490779,0.1252408477842004,0.020093586567575008,0.7690613817781448,0.01348747591522158,0.16900633085604183,100040,5301140
2018,21401,3687,0.48304854895579064,0.009492812584757255,0.3525901817195552,0.03770002712232167,0.586384594521291,0.11120151885001356,0.024681312720368862,0.7491185245457012,0.01844317873609981,0.17331163547599673,100040,5301140
2019,21401,3589,0.4859292281972694,0.010866536639732517,0.36556143772638616,0.041515742546670384,0.5684034550013931,0.11925327389244915,0.03872945110058512,0.7829478963499582,0.018668152688771245,0.1797157982724993,100040,5301140
2020,21401,3643,0.4822948119681581,0.009607466373867692,0.3705737029920395,0.044468844359044746,0.5608015371946198,0.12132857534998627,0.03623387318144387,0.8075761734833928,0.022508921218775735,0.1732088937688718,100040,5301140
2021,21401,3377,0.48267693218833285,0.010660349422564407,0.3985786200769914,0.04649096831507255,0.525614450695884,0.12940479715724015,0.035238377257921234,0.8007106899615043,0.023689665383476458,0.15605567071365117,100040,5301140
2022,21401,3327,0.4755034565674782,0.010519987977156597,0.40246468289750525,0.04658851818455065,0.5184851217312895,0.12473700030057108,0.009317703636910129,0.8355876164712954,0.0228434024646829,0.15900210399759543,100040,5301140
2023,21401,3438,0.47324025596276903,0.009889470622454915,0.40663176265270506,0.0506108202443281,0.5148342059336823,0.1515415939499709,0.04508435136707388,0.7943571844095404,0.030831878999418267,0.16870273414776032,100040,5301140
2024,21401,3399,0.4698440717858194,0.010297146219476317,0.4057075610473669,0.05501618122977346,0.510444248308326,0.15857605177993528,0.05001471020888497,0.7837599293909974,0.027066784348337748,0.1838776110620771,100040,5301140
2025,21401,3358,0.46873138773079215,0.01072066706372841,0.41959499702203695,0.049434187016081,0.5044669446098868,0.16825491363907089,0.05955926146515783,0.7689100655151876,0.03752233472304944,0.1840381179273377,100040,5301140
2015,22008,78,0.5,0.02564102564102564,0.038461538461538464,0,0.8974358974358975,0,0,0.5769230769230769,0.14102564102564102,0.14102564102564102,100248,5308280
2016,22008,82,0.5487804878048781,0,0.06097560975609756,0,0.9146341463414634,0,0.024390243902439025,0.5609756097560976,0.08536585365853659,0.0975609756097561,100248,5308280
2017,22008,85,0.5882352941176471,0,0.07058823529411765,0,0.9058823529411765,0,0.023529411764705882,0.5764705882352941,0.09411764705882353,0.11764705882352941,100248,5308280
2018,22008,81,0.5679012345679012,0,0.12345679012345678,0.024691358024691357,0.8518518518518519,0,0.024691358024691357,0.5308641975308642,0.08641975308641975,0.1111111111111111,100248,5308280
2019,22008,89,0.5393258426966292,0,0.0898876404494382,0.02247191011235955,0.8764044943820225,0,0.02247191011235955,0.5056179775280899,0.07865168539325842,0.16853932584269662,100248,5308280
2020,22008,79,0.46835443037974683,0,0.0759493670886076,0.02531645569620253,0.8860759493670886,0,0.02531645569620253,0.5063291139240507,0.08860759493670886,0.17721518987341772,100248,5308280
2021,22008,79,0.45569620253164556,0.02531645569620253,0.0379746835443038,0.02531645569620253,0.8987341772151899,0,0.0379746835443038,0.4810126582278481,0.05063291139240506,0.17721518987341772,100248,5308280
2022,22008,77,0.5324675324675324,0.012987012987012988,0.06493506493506493,0.03896103896103896,0.8831168831168831,0,0.05194805194805195,0.5324675324675324,0.012987012987012988,0.23376623376623376,100248,5308280
2023,22008,77,0.4805194805194805,0,0.09090909090909091,0.07792207792207792,0.8311688311688312,0,0.025974025974025976,0.5844155844155844,0.07792207792207792,0.24675324675324675,100248,5308280
2024,22008,74,0.5675675675675675,0,0.13513513513513514,0.08108108108108109,0.7702702702702703,0,0.02702702702702703,0.581081081081081,0.06756756756756757,0.21621621621621623,100248,5308280
2025,22008,55,0.5454545454545454,0,0.18181818181818182,0.07272727272727272,0.6909090909090909,0,0.01818181818181818,0.5454545454545454,0.09090909090909091,0.2909090909090909,100248,5308280
2015,22009,609,0.4860426929392447,0.0049261083743842365,0.03776683087027915,0.059113300492610835,0.8440065681444991,0.05090311986863711,0,0.47126436781609193,0.047619047619047616,0.12479474548440066,100215,5307210
2016,22009,555,0.4936936936936937,0.0018018018018018018,0.03783783783783784,0.06666666666666667,0.8522522522522522,0.03963963963963964,0,0.45045045045045046,0.04504504504504504,0.12432432432432433,100215,5307210
2017,22009,585,0.49743589743589745,0,0.041025641025641026,0.05128205128205128,0.8683760683760684,0.02905982905982906,0,0.40683760683760684,0.037606837606837605,0.11794871794871795,100215,5307210
