year,districtid,districtnumber,nces_lea,name,county,expectedtotest_n,metMATH_n,metMATH_pct,metMATH_Level1_pct,metMATH_Level2_pct,metMATH_Level3_pct,metMATH_Level4_pct,testedonly_metMATH_pct,noscore_MATH_pct,metELA_n,metELA_pct,metELA_Level1_pct,metELA_Level2_pct,metELA_Level3_pct,metELA_Level4_pct,testedonly_metELA_pct,noscore_ELA_pct,meantotalsalary,meancertbasesalary,meanexperience,enrollment,totalrev,tfedrev,tstaterev,c01,c05,c07,c08,c10,tlocalrev,t06,totalexp,tinstruction,tsupport,tcapex,pctfemale,pctblack,pcthispanic,pcttwomoreraces,pctwhite,pctesl,pcthighlycapable,pctfrpl,pctsection504,pctdisabilities,tsalaries,tsalariesinstruction,meantotalsalary_cpi_adjusted,meancertbasesalary_cpi_adjusted,totalrev_cpi_adjusted,tfedrev_cpi_adjusted,tstaterev_cpi_adjusted,c01_cpi_adjusted,c05_cpi_adjusted,c07_cpi_adjusted,c08_cpi_adjusted,c10_cpi_adjusted,tlocalrev_cpi_adjusted,t06_cpi_adjusted,totalexp_cpi_adjusted,tinstruction_cpi_adjusted,tsupport_cpi_adjusted,tcapex_cpi_adjusted,tsalaries_cpi_adjusted,tsalariesinstruction_cpi_adjusted
2019,1158,100131,5304410,Lind School District,Adams,12,2,0.133,0.6,0.2666666666666,0.0666666666666,0.0666666666666,0.1333333333333,0,7,0.467,0.4666666666666,0.0666666666666,0.4666666666666,0,0.4666666666666,0,44157.84,24961.46,5.4059999,226,5523000,352000,4081000,2509000,272000,41000,1000,3000,1090000,943000,4919000,2346000,1995000,212000,0.4823008849557522,0.008849557522123894,0.37610619469026546,0.02654867256637168,0.5752212389380531,0.13274336283185842,0,0.7345132743362832,0.022123893805309734,0.1504424778761062,2290000,1494000,40936.35675323706,23140.42606345004,5120076.035153175,326320.2542773706,3783275.4480282655,2325958.8579031895,252156.56012342274,38008.89325389828,927.0461769243483,2781.1385307730447,1010480.3328475397,874204.5448396604,4560140.144290869,2174850.331064521,1849457.1229640748,196533.78950796183,2122935.7451567575,1385006.9883249763
2021,1158,100131,5304410,Lind School District,Adams,17,4,0.267,0.3333333333333,0.4,0.2,0.0666666666666,0.2666666666666,0,7,0.467,0.2,0.3333333333333,0.2666666666666,0.2,0.4666666666666,0,48049.898,29915.898,5.6938775,205,5638000,627000,3988000,2629000,220000,44000,0,4000,1023000,975000,5267000,2518000,2334000,144000,0.4878048780487805,0.004878048780487805,0.34146341463414637,0,0.6487804878048781,0.12195121951219512,0,0.7268292682926829,0.01951219512195122,0.11707317073170732,2536000,1640000,42025.93026802384,26165.371740296177,4931169.569831727,548393.6360916093,3488028.4222222297,2299404.8951911335,192418.8196812664,38483.76393625328,0,3498.5239942048443,894747.5115178889,852765.2235874308,4606681.469369228,2202320.854351949,2041388.7506185262,125946.86379137437,2218064.212325871,1434394.837623986
2022,1158,100131,5304410,Lind School District,Adams,20,2,0.105,0.6842105263157,0.2105263157894,0.0526315789473,0.0526315789473,0.1052631578947,0,4,0.211,0.3684210526315,0.4210526315789,0.1052631578947,0.1052631578947,0.2105263157894,0,49689.404,28480.351,5.0122806,201,6061000,651000,4224000,2598000,255000,45000,0,3000,1186000,982000,5940000,2743000,2660000,192000,0.4975124378109453,0.009950248756218905,0.3681592039800995,0.024875621890547265,0.5920398009950248,0.14427860696517414,0,0.7213930348258707,0.014925373134328358,0.1044776119402985,2967000,1820000,40244.062168425786,23066.58812455443,4908878.778317178,527252.9425316751,3421069.7837999933,2104152.2960019843,206527.65030042574,36446.055935369244,0,2429.7370623579495,960556.0519855093,795333.9317451689,4810879.38346874,2221589.5873492854,2154366.861957382,155503.17199090877,2403009.954672012,1474040.484497156
2023,1158,100131,5304410,Lind School District,Adams,14,3,0.21400000154972076,0.5,0.2857142857142,0.1428571428571,0.0714285714285,0.2142857142857,0,4,0.28600001335144043,0.4285714285714,0.2857142857142,0.2142857142857,0.0714285714285,0.2857142857142,0,88085.86363636363,81077.36363636363,12.86818170005625,219,6834000,614000,4829000,2936000,253000,21000,6000,3000,1391000,982000,6479000,3020000,2851000,309000,0.4748858447488584,0.0091324200913242,0.3789954337899543,0.0273972602739726,0.5753424657534246,0.1506849315068493,0.0045662100456621,0.7625570776255708,0.0182648401826484,0.1187214611872146,3253000,1943000,68514.27072289916,63062.973017018354,5315569.454518005,477576.7698381702,3756055.735421049,2283656.9971414786,196786.51916784543,16334.058903259895,4666.87397235997,2333.436986179985,1081936.9492587864,763811.7068095818,5039446.07782004,2348993.2327545183,2217542.9491997124,240344.00957653843,2530223.5053478302,1511289.3547159038
2024,1158,100131,5304410,Lind School District,Adams,16,5,0.31299999356269836,0.3125,0.3125,0.1875,0.125,0.333333333,0.0625,8,0.5,0.25,0.1875,0.375,0.125,0.533333333,0.0625,85882.5,81466.09090909091,10.822727211497046,182,6020704,610468,4481901,2754519.11,218897.56,41952.93,4474.89,5915.46,647294,1029814.19,6066751,2634629,3098269,77313,0.505,0,0.415,0.02,0.555,0.155,0.005,0.78,0.01,0.1,3173323.75,1698307.25,64884.99123427563,61548.354956214185,4548695.325172977,461213.99387309136,3386115.9968316145,2081063.64284918,165379.05000208798,31695.811082609132,3380.8191240863703,4469.182548792922,489036.36382265546,778033.7634684907,4583484.2424886655,1990485.6003326448,2340769.736633516,58410.6579023148,2397474.2666115756,1283086.2053311996
2025,1158,100131,5304410,Lind School District,Adams,,,,,,,,,,5,0.25,0.45,0.3,0.25,0,0.25,0,92139.95454545454,83616.09090909091,11.704545454545455,173,5942100,417493,4612681,2781978.76,184574.81,40834.97,2092.94,34490.82,642731,1029776.74,5852340,2496393,3023225,391185,0.5117647058823529,0,0.4176470588235294,0.01764705882352941,0.5529411764705883,0.12352941176470589,0.0058823529411764705,0.7352941176470589,0,0.09411764705882353,3181803.25,1765918.25,67825.81993582103,61551.25595313223,4374082.954879474,307323.8442775275,3395474.55249767,2047862.8557164525,135868.72154980854,30059.33024351907,1540.6494639244452,25389.29130472662,473125.44583104266,758036.5335092562,4308009.060796577,1837638.220491145,2225448.4006101373,287958.06881481747,2342180.603087311,1299923.0772009203
2015,1160,100220,5307380,Ritzville School District,Adams,19,6,0.316,0.3157894736842,0.3684210526315,0.2105263157894,0.1052631578947,0.3157894736842,0,13,0.684,0.1052631578947,0.2105263157894,0.578947368421,0.1052631578947,0.6842105263157,0,44094.45,27504.88,7.62549,364,4769000,258000,2768000,2373000,223000,0,3000,3000,1743000,1395000,4630000,2279000,1498000,16000,0.4557291666666667,0.015625,0.0703125,0.005208333333333333,0.8776041666666666,0,0,0.4114583333333333,0.018229166666666668,0.09895833333333333,2226000,1568000,44094.45,27504.88,4769000,258000.00000000003,2768000,2373000,223000,0,3000,3000,1743000,1395000,4630000,2279000,1498000,16000.000000000002,2226000,1568000
2016,1160,100220,5307380,Ritzville School District,Adams,32,13,0.394,0.4242424242424,0.1818181818181,0.1818181818181,0.2121212121212,0.3939393939393,0,23,0.697,0.090909090909,0.2121212121212,0.3939393939393,0.3030303030303,0.6969696969696,0,44189.25,25197.46,6.803279,360,4927000,260000,3021000,2626000,243000,0,0,2000,1646000,1340000,4705000,2720000,1581000,1000,0.45663265306122447,0.017857142857142856,0.09183673469387756,0.00510204081632653,0.8520408163265306,0.007653061224489796,0,0.4489795918367347,0.05102040816326531,0.09693877551020408,2522000,1814000,43636.22174299887,24882.113905991708,4865338.618052023,256746.10121646564,2983192.1991343945,2593135.6222863025,239958.8561369275,0,0,1974.970009357428,1625400.317701163,1323229.9062694765,4646116.947013348,2685959.2127261017,1561213.7923970467,987.485004678714,2490437.1817997163,1791297.798487187
2017,1160,100220,5307380,Ritzville School District,Adams,28,9,0.391,0.2608695652173,0.3478260869565,0.1739130434782,0.2173913043478,0.391304347826,0,13,0.565,0.2173913043478,0.2173913043478,0.391304347826,0.1739130434782,0.5652173913043,0,41722.132,24104.382,5.6382353,353,4977000,273000,3229000,2760000,279000,0,0,2000,1475000,1176000,8709000,2877000,1704000,3705000,0.47480106100795755,0.007957559681697613,0.11140583554376658,0.01856763925729443,0.8222811671087533,0.002652519893899204,0,0.4880636604774536,0.021220159151193633,0.11405835543766578,2575000,1843000,40340.15158934159,23305.96202148531,4812144.654068806,263957.3016999768,3122044.4219385525,2668579.3138898746,269758.56107799825,0,0,1933.7531260071557,1426142.9304302773,1137046.8380922074,8420527.98719816,2781703.871761293,1647557.6633580965,3582277.6659282558,2489707.149734213,1781953.5056155939
2021,1160,100220,5307380,Ritzville School District,Adams,31,8,0.229,0.2571428571428,0.4857142857142,0.1714285714285,0.0571428571428,0.235294117647,0.0285714285714,19,0.543,0.2571428571428,0.1714285714285,0.4285714285714,0.1142857142857,0.5588235294117,0.0285714285714,59229.431,40840.059,7.4607843,346,6652000,549000,4298000,3654000,288000,0,0,2000,1805000,1683000,5789000,3189000,1748000,192000,0.47109826589595377,0,0.11271676300578035,0.023121387283236993,0.8208092485549133,0,0,0.5,0.02023121387283237,0.08670520231213873,2940000,2047000,51803.89637915005,35719.98158406038,5818045.402362655,480172.4182046149,3759164.0317731053,3195901.6687061246,251893.72758274875,0,0,1749.2619971024221,1578708.9523849357,1472003.970561688,5063238.85061296,2789198.2543798117,1528854.9854675168,167929.1517218325,2571415.13574056,1790369.654034329
